Sim	N	K	p	q	r	successRate	nGen	nEggs	m	nPops
1	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01
2	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01
3	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01	2.0
4	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01	2.0
5	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01	2.0
5	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	0.01	2.0
6	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
7	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
8	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
9	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
10	100.0	200.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
11	100.0	200.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
12	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
13	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
14	100.0	200.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
15	10.0	20.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
16	10.0	20.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
17	10.0	20.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
18	10.0	20.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
19	10.0	20.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
20	10.0	20.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
20	10.0	20.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
21	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
22	100.0	200.0	0.18	0.24	0.58	0.261	100.0	400.0	1.0	2.0
23	100.0	100.0	0.18	0.24	0.58	0.261	10.0	400.0	1.0	2.0
24	100.0	100.0	0.18	0.24	0.58	0.261	10.0	400.0	0.01	2.0
25	100.0	100.0	0.18	0.24	0.58	0.261	10.0	400.0	0.01	2.0

